resource_type,owner_id,source,collection,id,external_id,name,name_type,name_external_id,name[fr],name_type[fr],name_locale[fr],name_external_id[fr],concept_class,datatype,description,description_external_id,released,attr:precise,attr:units,map_external_id,map_target,map_type,map_from_concept_url,map_to_concept_url,map_from_concept_owner_id,map_from_concept_source,map_from_concept_id,map_to_concept_owner_id,map_to_concept_source,map_to_concept_id,map_to_concept_name,map_source[dsme1],map_to_concept_owner_id[dsme1],map_to_concept_source[dsme1],map_to_concept_id[dsme1],extmap_to_concept_owner_id[1],extmap_to_concept_source[1],extmap_to_concept_id[1],extmap_to_concept_name[1]
Concept,MSFOCG,DHIS2DataElements,,Z3a44uyRxNB,c209c797-955c-44af-be67-78aef64b6a5b,Acute abdomen,FULLY_SPECIFIED,,,,,,Indicator,Text,,,,,,,,,,,,,,,,,,,,,,,,,
Concept,MSFOCG,DHIS2DataElements,,lqK8WcEG6id,589a34af-342e-4fcc-b6a1-1a281051941a,Acute asthma,FULLY_SPECIFIED,,,,,,Indicator,Text,,,,,,,,,,,,,,,,,,,,,,,,,
Concept,MSFOCG,DHIS2DataElements,,qip0AsP3ZJz,eca7e3e5-c502-46c1-ab45-47573c0b1ae5,Acute chest syndrome,FULLY_SPECIFIED,,,,,,Indicator,Text,,,,,,,,,,,,,,,,,,,,,,,,,
Concept,MSFOCG,DHIS2DataElements,,L0Y1ENVEDUB,cc81053c-b26d-41a9-8ef4-4d40388c7534,Acute diarrhea (bloody),FULLY_SPECIFIED,,,,,,Indicator,Text,,,,,,,,,,,,,,,,,,,,,,,,,
Concept,MSFOCG,DHIS2DataElements,,e5katj85hxr,8153c195-badb-461a-8710-bd6b0223c58e,Acute diarrhea (non-bloody),FULLY_SPECIFIED,,,,,,Indicator,Text,,,,,,,,,,,,,,,,,,,,,,,,,
Concept,MSFOCG,DHIS2DataElements,,KawFxJKLH84,c0e0b042-f303-4d32-9126-3c0f3843356e,Acute febrile illness (=<7 days),FULLY_SPECIFIED,,,,,,Indicator,Text,,,,,,,,,,,,,,,,,,,,,,,,,
Concept,MSFOCG,DHIS2DataElements,,SspRlAg9tHl,947779d4-6eb9-4c28-a975-5929045cfb09,Acute flaccid paralysis,FULLY_SPECIFIED,,,,,,Indicator,Text,,,,,,,,,,,,,,,,,,,,,,,,,
Concept,MSFOCG,DHIS2DataElements,,mZvzX4Oci8g,5bb21b5e-ad92-4549-ace5-0ada4ccb02da,Acute jaundice syndrome,FULLY_SPECIFIED,,,,,,Indicator,Text,,,,,,,,,,,,,,,,,,,,,,,,,
Concept,MSFOCG,DHIS2DataElements,,TfSfk0zoYnU,1bf3d1f5-7192-47fd-8e21-8dc90461c2fe,Allergy/Anaphylaxis,FULLY_SPECIFIED,,,,,,Indicator,Text,,,,,,,,,,,,,,,,,,,,,,,,,
Concept,MSFOCG,DHIS2DataElements,,vLesHIVnS1D,d29e0efb-f636-4530-925c-1ae773be9f7d,Apnoea of prematurity,FULLY_SPECIFIED,,,,,,Indicator,Text,,,,,,,,,,,,,,,,,,,,,,,,,
